,,,,,
,Persona,Produto,Caracteristicas,Dores,Diferenciais/Vacinas
,,,,,
,"Eu quero
 (melhoria)",ISO 9001                                                       ISO 14001                                      ISO 45001                                                    FSSC 22000,Busca o melhor custo x benefício(o beneficio vale mais),Alta taxa de desperdício e retrabalho,Tranferencia de conhecimento
,,,Não é cobrado por um cliente (não tem pressa),Alto Índice de Reclamação de Clientes,"Trabalho a 4 mãos, o cliente desenvolve a gestão dele"
,,,Tem conhecimento sobre o que Aborda a ISO (não é leigo),Baixa produtividade,Possíveis experiencias nossas com clientes do seu ramo
,,,"Saiu do estado de inercia, buscou ajuda",Alto custo de operação,Depoimento de Clientes/Cases de sucesso
,,,Não pode perceber que queremos vender,Falta de sistemática para gestão de mudanças,Equipe de consultores especializados
,,,O ritmo da negociação é o ritmo do cliente,"Falta de cumprimento de prazos,",Diagnóstico para maior esclarecimento dos pontos de melhoria
,,,Enxerga valor na cultura da nossa empresa,Clima Organizacional Baixo,Freemium
,,,Fatura acima de 80*,Comunicação Interna falha,Participação de um Consultor na Demonstração
,,,Está engajado a se dedicar 1 hora por dia ou tem um funcionário para a tarefa,Desperdício de matéria-prima,"Aprofundamento na demonstração de capacidade, de acordo com as dores do diagnóstico"
,,,Exige uma abordagem técnica do vendedor,Alto Índice de devolução de produtos,Palestra engajamento dos colaboradores
,,,Busca o melhor custo x benefício(o beneficio vale mais),Turn over alto,Curso de Auditor Interno/ Entendimento
,,,Possívelmente pesquisou ou consumiu conteudo antes de se cadastrar (conhece a templum),Falta de fluxo de processos interno,Pós-certificação
,,,Pode utilizar comercialmente,Falta de indicadores de desempenho,Departamento Sucesso do cliente/ Drops
,,,Quer falar muito no telefone,Problemas financeiros decorrentes da desorganização,
,,,,,
,Persona,Produto,Caracteristicas,Dores,Diferenciais/Vacinas
,,,,,
,"Eu Preciso 
(exigencia)",Todos os Produtos/CRCC,Cliente tem pressa,Prazo curto para implementar ,Pacote Fechado
,,,Curioso,Já deixou de faturar em outros momentos,Selo e atestado
,,,Estou determinado a ter a norma,Pode perder um contrato(atual),Relatórios Automáticos/Controle do Cronograma
,,,Possível Procastinador,Embarrigou o máximo que deu,Quantidade de clientes certificados (Mapa de clientes certificados)
,,,"Pode virar a persona o ""Eu quero a ISO""",Quer segurança/garantia,Documentação pronta
,,,Fornecedor de uma grande empresa,Aumentar o faturamento,120% de garantia em contrato
,,,Busca o melhor custo x benefício (o custo vale mais),Não desprende 100% do seu tempo para implementação ou do seu funcionário,"Metodo flexível, podendo interargir todos os dias no melhor momento"
,,,Engajado durante a  implementação,Precisa evidenciar a implementação da norma para o cliente,Estrutura/Segurança
,,,Atencioso na ligação,,Autoriedade
,,,Não Omite informações,,Depoimentos de clientes 
,,,Se encanta pelo método,,Cases de clientes que implementaram rápido (recorde de certificação)
,,,Leigo,,ROI 
,,,,,
,,,,,
,,,,,
,,,,,
,Persona,Produto,Caracteristicas,Dores,Diferenciais/Vacinas
,,,,,
,"Zé Preço
(está dentro da exigencia)
",ISO 9001                                                       ISO 14001                                      ISO 45001                                                     CRCC,Não quer saber de Melhorias,o certificado é um custo,Ensinar o que ele precisa Avaliar nas opções de consultoria
,,,Não encherga valor na certificação,Não conhece o que é a ISO,Colocar medo no cliente
,,,Escolhe o mais barato,Muitos Problemas de gestão,Explicar que a Certificadora é imparcial
,,,Deixa transparecer que não se importa com o atendimento,Não sabe comprar um serviço técnico,Proibido passar valores antes de um avanço técnico
,,,Se for empresa pequena é o dono,todo mundo quer me enganar,Ser firme e seguro na abordagem
,,,Demonstra Ansiedade no telefone,,Colocar margem para desconto
,,,Pode não precisar (necessidade não está clara),,
,,,Some depois que descobre o preço,,
,,,Mentiroso,,
,,PBQP-H,90% Dono da Empresa,Precisa para ontem,Ditar o Ritmo da Negociação
,,,Ansioso para obter informações,o certificado é um custo,Não falar de preço sem demonstrar o valor do produto
,,,Simples e objetivo em sua abordagem,Poucas informações na caixa,Colocar margem para desconto
,,,Entra em leilão,talvez não tenha  6 meses para implementação,Selo e Atestado de implementação
,,,Pede muito desconto (chorão),Talvez não possui uma obra em andamento,Interações todos os dias (agilidade)
,,,Manipula informações (mentiroso),Desorganização na Obra ,Documentos prontos e Método passo a passo 
,,,"Não atende os seus contatos, desaparece após conseguir o preço",Conhece pouco ou nada sobre o PBQP-H,Projeto Especial
,,,Procastinador,Não tem condições de ter o GERIC,Explicar o que é PBQP-H e GERIC e porque a caixa pede. Por que ele é exigido
,,,Não entende o processo como um todo acha que vai pegar o certificado e o dinheiro na caixa,Não possui contrato com empreiteiros ,Certificar a ISO 9001
,,,,Não possui ART no nome da construtora,
,,SASSMAQ,90% Dono da Empresa,Não sabe se vale a pena investir no SASSMAQ,Retorno de invesitimento (ROI)
,,,Leigo (conhece pouco ou nada sobre o SASSMAQ),Não tem frota propria,Proibido passar preço antes da demonstração de valor
,,,Desconfiado/duvidoso,Não atende a legislação,Colocar margem para desconto
,,,Simples,Faturamento baixo,Aplicar o diagnóstico para verificar se tem os pré requisitos e medir engajamento
,,,Malandro,Perda de um cliente que representa muito no faturamento,
